Status,Sample File,Sample Name,Comments,Analysis Method,Panel,Size Standard,Run Name,REF,SQI,SFNF,SQ,UD1,UD2,UD3,Plate,Lane, Well,Marker,Allele 1,Allele 2,Allele 3,Allele 4,Allele 5,Allele 6,Size 1,Size 2,Size 3,Size 4,Size 5,Size 6
TRUE,Box2-A8-KNK_5-8_H06.fsa,Box2-A8-KNK_5-8,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,596_,B01,020_,Apple2019_Box5-6_Plate1-2_PM1r,25,H06,,,,,,,,,,,,,
TRUE,Box3-C6-KN_19-33_H07.fsa,Box3-C6-KN_19-33,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,700_,B02,028_,Apple2019_Box5-6_Plate1-2_PM1r,26,H07,,,,,,,,,,,,,
TRUE,Box2-A9-KNK_5-2_H08.fsa,Box2-A9-KNK_5-2,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,604_,B01,028_,Apple2019_Box5-6_Plate1-2_PM1r,26,H08,,,,,,,,,,,,,
TRUE,Box3-C7-RA_25-11_H09.fsa,Box3-C7-RA_25-11,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,708_,B02,036_,Apple2019_Box5-6_Plate1-2_PM1r,41,H09,,,,,,,,,,,,,
TRUE,Box2-B1-KN_12-29_H10.fsa,Box2-B1-KN_12-29,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,612_,B01,036_,Apple2019_Box5-6_Plate1-2_PM1r,41,H10,,,,,,,,,,,,,
TRUE,Box3-C8-PR_30-18_H11.fsa,Box3-C8-PR_30-18,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,716_,B02,044_,Apple2019_Box5-6_Plate1-2_PM1r,42,H11,,,,,,,,,,,,,
TRUE,Box2-B2-KN_12-7_H12.fsa,Box2-B2-KN_12-7,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,620_,B01,044_,Apple2019_Box5-6_Plate1-2_PM1r,42,H12,,,,,,,,,,,,,
TRUE,Box3-C9-KN_12-28_H13.fsa,Box3-C9-KN_12-28,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,724_,B02,052_,Apple2019_Box5-6_Plate1-2_PM1r,57,H13,,,,,,,,,,,,,
TRUE,Box2-B3-KN_12-8_H14.fsa,Box2-B3-KN_12-8,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,628_,B01,052_,Apple2019_Box5-6_Plate1-2_PM1r,57,H14,,,,,,,,,,,,,
TRUE,Box3-D1-RA_18-3_H15.fsa,Box3-D1-RA_18-3,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,732_,B02,060_,Apple2019_Box5-6_Plate1-2_PM1r,58,H15,,,,,,,,,,,,,
